Player,Team,Age,GP,G,Freq,FGM,FGA,FG%,eFG%,2FG Freq,2FGM,2FGA,2FG%,3FG Freq,3PM,3PA,3P%
Gigi Datome,BOS,27,3,2,100%,0.7,2,33.3,33.3,66.70%,0.7,1.3,50,33.30%,0,0.7,0
Brandon Rush,GSW,29,3,2,100%,0.3,2,16.7,25,66.70%,0,1.3,0,33.30%,0.3,0.7,50
Jerome Jordan,BKN,28,1,1,100%,0,2,0,0,100%,0,2,0,0.00%,0,0,-
Kirk Hinrich,CHI,34,10,8,100%,0.9,1.9,47.4,63.2,47.40%,0.3,0.9,33.3,52.60%,0.6,1,60
Nick Johnson,HOU,22,9,6,100%,0.4,1.9,23.5,26.5,58.80%,0.3,1.1,30,41.20%,0.1,0.8,14.3
Clint Capela,HOU,21,17,12,100%,1.2,1.8,67.7,67.7,100%,1.2,1.8,67.7,0.00%,0,0,-
Mirza Teletovic,BKN,29,3,2,100%,0,1.7,0,0,20.00%,0,0.3,0,80.00%,0,1.3,0
Hedo Turkoglu,LAC,36,11,8,100%,0.4,1.6,23.5,29.4,23.50%,0.2,0.4,50,76.50%,0.2,1.2,15.4
Cory Joseph,SAS,23,4,3,100%,1.3,1.5,83.3,83.3,100%,1.3,1.5,83.3,0.00%,0,0,-
John Jenkins,ATL,24,4,2,100%,1,1.5,66.7,83.3,33.30%,0.5,0.5,100,66.70%,0.5,1,50
Garrett Temple,WAS,29,4,3,100%,0.3,1.5,16.7,16.7,50.00%,0.3,0.8,33.3,50.00%,0,0.8,0
Phil Pressey,BOS,24,2,2,100%,0,1.5,0,0,66.70%,0,1,0,33.30%,0,0.5,0
Matt Bonner,SAS,35,7,4,100%,0.3,1.4,20,30,10.00%,0,0.1,0,90.00%,0.3,1.3,22.2
Alexis Ajinca,NOP,27,3,2,100%,1.3,1.3,100,100,100%,1.3,1.3,100,0.00%,0,0,-
Tyler Hansbrough,TOR,29,4,4,100%,0.3,1.3,20,20,100%,0.3,1.3,20,0.00%,0,0,-
James Michael McAdoo,GSW,22,5,2,100%,0.8,1.2,66.7,66.7,100%,0.8,1.2,66.7,0.00%,0,0,-
Kris Humphries,WAS,30,1,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Mason Plumlee,BKN,25,6,3,100%,0.7,1,66.7,66.7,100%,0.7,1,66.7,0.00%,0,0,-
Jon Leuer,MEM,26,4,2,100%,0.5,1,50,50,100%,0.5,1,50,0.00%,0,0,-
Doug McDermott,CHI,23,3,1,100%,0.3,1,33.3,50,33.30%,0,0.3,0,66.70%,0.3,0.7,50
Joe Harris,CLE,23,6,3,100%,0.3,1,33.3,41.7,50.00%,0.2,0.5,33.3,50.00%,0.2,0.5,33.3
Kendrick Perkins,CLE,30,8,4,100%,0.3,1,25,25,100%,0.3,1,25,0.00%,0,0,-
Shawn Marion,CLE,37,6,3,100%,0.2,1,16.7,16.7,100%,0.2,1,16.7,0.00%,0,0,-
Darius Morris,BKN,24,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Gerald Wallace,BOS,32,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Brendan Haywood,CLE,35,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Jordan Adams,MEM,20,4,3,100%,0.5,0.8,66.7,83.3,66.70%,0.3,0.5,50,33.30%,0.3,0.3,100
Ekpe Udoh,LAC,28,4,1,100%,0.3,0.8,33.3,33.3,100%,0.3,0.8,33.3,0.00%,0,0,-
